action_unit_version,adaptation_buffer_ids,arm,c_env_ref,c_env_ref_proprio,c_env_ref_visual,c_env_samever,c_env_samever_proprio,c_env_samever_visual,c_hat_native,candidate,candidate_environment_actions,candidate_model_actions,encoder_version,gd_iter,model_version,mpc_iter,objective_coefficients,objective_stage,objective_version,official_environment_metrics,oracle_wall_s,predictor_version,real_history_id,run_id,sample_id,seed,shape,sidecar
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.76871657371521,0.26415061950683594,0.504565954208374,0.76871657371521,0.26415061950683594,0.504565954208374,0.671438455581665,u_before,25,5,0,0,0,0,,terminal,0,"{""state_dist"": 193.06689453125, ""success"": false}",0.05455420000000011,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g0_before_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.5041932463645935,0.1852407306432724,0.3189525008201599,0.5041932463645935,0.1852407306432724,0.3189525008201599,0.4178670644760132,u_after,25,5,0,0,0,0,,terminal,0,"{""state_dist"": 164.05384826660156, ""success"": false}",0.06585779999999986,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g0_after_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.06062638387084007,0.00374113442376256,0.0568852499127388,0.06062638387084007,0.00374113442376256,0.0568852499127388,0.02986576221883297,u_before,25,5,0,24,0,0,,terminal,0,"{""state_dist"": 22.961027145385742, ""success"": false}",0.06093890000000002,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g24_before_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.05752919614315033,0.003781326813623309,0.05374787002801895,0.05752919614315033,0.003781326813623309,0.05374787002801895,0.027507871389389038,u_after,25,5,0,24,0,0,,terminal,0,"{""state_dist"": 23.122722625732422, ""success"": false}",0.0772214999999985,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g24_after_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.017065290361642838,0.002452438697218895,0.014612851664423943,0.017065290361642838,0.002452438697218895,0.014612851664423943,0.00593528151512146,u_before,25,5,0,49,0,0,,terminal,0,"{""state_dist"": 18.74701690673828, ""success"": true}",0.05694480000000013,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g49_before_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.017199330031871796,0.002257887739688158,0.01494144182652235,0.017199330031871796,0.002257887739688158,0.01494144182652235,0.005829726345837116,u_after,25,5,0,49,0,0,,terminal,0,"{""state_dist"": 18.339414596557617, ""success"": true}",0.09133899999999961,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g49_after_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.01924208737909794,0.0020566252060234547,0.01718546263873577,0.01924208737909794,0.0020566252060234547,0.01718546263873577,0.005137383937835693,u_before,25,5,0,74,0,0,,terminal,0,"{""state_dist"": 19.502574920654297, ""success"": true}",0.07297730000000158,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g74_before_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.019219698384404182,0.0020342357456684113,0.01718546263873577,0.019219698384404182,0.0020342357456684113,0.01718546263873577,0.005130889359861612,u_after,25,5,0,74,0,0,,terminal,0,"{""state_dist"": 19.511022567749023, ""success"": true}",0.08680069999999951,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g74_after_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.018729714676737785,0.001913675689138472,0.016816038638353348,0.018729714676737785,0.001913675689138472,0.016816038638353348,0.005073225125670433,u_before,25,5,0,99,0,0,,terminal,0,"{""state_dist"": 19.21310043334961, ""success"": true}",0.061368599999998,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g99_before_outcome.npz
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.018729718402028084,0.001913679763674736,0.016816038638353348,0.018729718402028084,0.001913679763674736,0.016816038638353348,0.0050732046365737915,u_after,25,5,0,99,0,0,,terminal,0,"{""state_dist"": 19.213008880615234, ""success"": true}",0.08373339999999985,0,s0_history_mpc0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_m0_g99_after_outcome.npz
