action_unit_version,arm,encoder_version,environment_metric_abs_error,model_version,mpc_iter,native_same_version_cost_abs_error,native_same_version_cost_online,native_same_version_cost_replay,objective_version,oracle_wall_s,passed,predictor_version,prefix_environment_actions,prefix_model_actions,proprio_max_abs_error,real_history_id,rgb_exact_pixel_match_rate,rgb_max_abs_error,rgb_mean_abs_error,run_id,sample_id,seed,shape,sidecar,state_max_abs_error
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,0,0.0,0.7687517404556274,0.7687517404556274,0,0.003707600000000255,True,0,0,0,0.0,s0_history_mpc0,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc0_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,1,0.0,0.5075474977493286,0.5075474977493286,0,0.014581200000000294,True,0,5,1,0.0,s0_history_mpc1,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc1_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,2,0.0,0.29073724150657654,0.29073724150657654,0,0.031297700000003204,True,0,10,2,0.0,s0_history_mpc2,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc2_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,3,0.0,0.12177351117134094,0.12177351117134094,0,0.048617400000001254,True,0,15,3,0.0,s0_history_mpc3,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc3_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,4,0.0,0.09058825671672821,0.09058825671672821,0,0.06883189999999928,True,0,20,4,0.0,s0_history_mpc4,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc4_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,5,0.0,0.11203299462795258,0.11203299462795258,0,0.0804227999999938,True,0,25,5,0.0,s0_history_mpc5,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc5_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,6,0.0,0.04044196009635925,0.04044196009635925,0,0.09335060000000084,True,0,30,6,0.0,s0_history_mpc6,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc6_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,7,0.0,0.03241047263145447,0.03241047263145447,0,0.10858230000000191,True,0,35,7,0.0,s0_history_mpc7,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc7_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,8,0.0,0.032064445316791534,0.032064445316791534,0,0.12067049999998858,True,0,40,8,0.0,s0_history_mpc8,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc8_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,9,0.0,0.030406691133975983,0.030406691133975983,0,0.13336650000000816,True,0,45,9,0.0,s0_history_mpc9,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc9_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,10,0.0,0.030453220009803772,0.030453220009803772,0,0.14059480000000235,True,0,50,10,0.0,s0_history_mpc10,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc10_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,11,0.0,0.030250610783696175,0.030250610783696175,0,0.14617459999999483,True,0,55,11,0.0,s0_history_mpc11,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc11_anchor.npz,0.0
pushobj_norm_envapi_v1,FROZEN,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,12,0.0,0.03284575417637825,0.03284575417637825,0,0.15059939999999017,True,0,60,12,0.0,s0_history_mpc12,1.0,0,0.0,dev_valT_frozen_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\oracle\sample_000\s0_history_mpc12_anchor.npz,0.0
